Date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),O3 (ug/m3),CO (ug/m3),SO2 (ug/m3)
15/08/2018,26.5,89.27,21.82,44.35,1120,14.35
16/08/2018,26.78,92.6,22.26,41.48,1100,11.47
17/08/2018,23.47,74.1,21.44,41.2,1090,11.62
18/08/2018,24.24,73.67,23.43,41.49,1060,14.03
19/08/2018,22.93,83.64,19.3,44.07,1020,11.74
20/08/2018,27.03,76,20.74,37.32,990,11.96
21/08/2018,30.38,68.94,24.85,46.84,1030,13.63
22/08/2018,25.93,62.3,22.2,47.25,1030,15.86
23/08/2018,22.73,61.65,26.96,45.17,1010,15.03
24/08/2018,18.9,54.49,27.15,48.54,1190,11.95
25/08/2018,25.16,54.75,25.84,49.41,1330,14.99
26/08/2018,23.81,53.56,24.84,55.51,1360,14.8
27/08/2018,27.42,69.03,31.31,50.48,1460,14.01
28/08/2018,30.34,74.33,32.86,54.49,1370,9.34
29/08/2018,28.45,70.22,32.34,45.52,1300,7.7
30/08/2018,26.29,67.85,31.21,46.89,1290,11.23
31/08/2018,25.57,60.85,29.44,47.94,1310,11.43
01/09/2018,28.12,72.15,27.43,45.21,1310,13.6
02/09/2018,24.08,56.22,26.03,48.04,1330,12.48
03/09/2018,26.64,57.13,22.81,49.08,1300,15.62
04/09/2018,23.42,55.12,21.29,42.68,1310,14.71
05/09/2018,22.38,55.23,24.45,47.23,1210,14.22
06/09/2018,25.8,61.97,26.92,43.13,980,13.58
07/09/2018,27.41,67.75,31.55,39.23,970,15.18
08/09/2018,26.3,64.3,30.23,42.81,990,15.76
09/09/2018,24.43,66.9,30.96,39.14,1100,16.28
10/09/2018,21.74,62.67,26.21,24.82,1280,12.44
11/09/2018,26.71,72.69,23.08,22.41,1550,13.74
12/09/2018,21.79,53.25,21.48,23.66,1410,12.04
13/09/2018,18.98,47.86,21.21,25.71,1440,17.65
14/09/2018,24.45,61.48,23.12,27.44,1630,18.39
15/09/2018,21.56,64.94,24.77,30.54,1730,17.66
16/09/2018,25.26,76.02,25.62,33.96,1750,16.74
17/09/2018,20.73,67.42,21.68,29.64,1610,12.96
18/09/2018,25.61,79.33,22.75,31.02,1580,10.67
19/09/2018,18.03,55.7,23.61,28.36,1400,10.43
20/09/2018,25.71,93.33,26.76,38.56,1750,12.01
21/09/2018,42.4,111.21,27.51,43.83,1860,14.24
22/09/2018,31.33,59.91,22.11,49.25,1360,17.09
23/09/2018,36.01,66.46,25.21,45.75,1490,18.74
24/09/2018,32.67,70.27,24.04,46.15,1610,14.61
25/09/2018,34.21,77.37,25.08,36.49,1550,14.21
26/09/2018,32.26,72.23,29.51,39.37,1570,15.13
27/09/2018,37.63,77.48,33.18,48.78,1600,13.68
